original name,osm_id,type,lat,lon,dist_bus,dist_metro,dist_schools,dist_uni
12th & U St NW,6058113,house,38.91692590937851,-77.00963358791724,1.331604981692242,1.1315169512828198,0.37847912736717637,1.0760644810204576
Randle Circle & Minnesota Ave SE,203022902,secondary,38.8739015,-76.9697891,2.100802540464498,1.5573942735016904,0.46941273938071554,3.126126669218011
15th & W St NW,6285398473,bicycle_rental,38.919038799999996,-77.0344728,0.8227229006154769,0.6454451392202907,0.5503119971775395,0.9566073753557482
Potomac & Swann Ave,0,,38.82958,-77.04785,2.7603210391093116,1.7857721971178513,3.0392151625733277,5.024466479326694
Stanton Square SE,6285398409,bicycle_rental,38.85501179999999,-76.98451429999999,1.7605054713197528,1.0941188838744287,0.22850398539021421,2.879923288438592
Lee Hwy & N Kirkwood Rd,0,,38.8953,-77.09746,3.9407707034359944,0.969980253431239,3.186076087722455,2.4768815639286013
Reston YMCA,6285398480,bicycle_rental,38.9553218,-77.3684184,27.883827670958084,2.59815753385343,23.44017008069493,23.73901908091033
7th & K St NW,6285398397,bicycle_rental,38.902681799999996,-77.0213943,0.1719031764337862,0.4201728860258891,0.6172916032050477,0.784765217004182
Sunset Hills Rd & Isaac Newton Square,6285398479,bicycle_rental,38.951450799999996,-77.34037940000002,25.416402288961983,0.41279581619713834,20.974264024165585,21.29349025918988
8th & H St NW,2276095576,bicycle_rental,38.899655200000005,-77.02307309999999,0.3444113986690635,0.1785110535346379,0.6313988565418381,0.7914961245640366
2nd St & Massachusetts Ave NE,6285398198,bicycle_rental,38.894979799999994,-77.0031373,0.454091037905868,0.48376269143079675,0.3088868897827879,0.634148903828937
20th St & Virginia Ave NW,6260263,house,38.89465,-77.0451,0.08878951469155955,0.808635007216006,0.47030323263502527,0.6212084762298328
4th & M St SE,6285398401,bicycle_rental,38.8767588,-77.0007383,0.11691797449085424,0.378634384059368,0.12961357032166032,1.4945797429326615
Twinbrook Metro,6285398438,bicycle_rental,39.06204879999999,-77.1207783,13.562067992006204,0.04750633331790878,11.418480296813598,12.00982151054021
Commerce St & Fayette St,2276095313,bicycle_rental,38.8056477,-77.05293,3.609715814244436,0.6927884725683158,4.284892558613524,7.538132281081596
Union Market/6th St & Neal Pl NE,0,,38.90777,-76.99703,1.3391226159302345,0.5263606964405617,0.5568747408405396,0.4190589190187735
United Medical Center,464206090,hospital,38.83587585,-76.98493750510922,2.264881183557833,1.0351380183840182,0.6550479601987912,4.244716797706646
Thomas Circle,41964887,park,38.90563770000001,-77.03194560531915,0.2499011069337794,0.49907762457752813,0.3859943123726621,0.22963279143020013
Convention Center / 7th & M St NW,1827176287,bicycle_rental,38.905719700000006,-77.022264,0.15031029439651794,0.08592878494741152,0.5888969420385939,0.7195995618214428
New Hampshire & Gallatin St NW,6285398386,bicycle_rental,38.951603799999994,-77.0128103,0.9129051305037682,0.9197127432764924,0.5702044227873897,1.3205467435801928
Kansas Ave & Sherman Cr NW,6285398400,bicycle_rental,38.9480648,-77.02146929999999,1.2223588762110973,1.1918391627952052,0.32045844539187035,0.6088231584907103
19th & Savannah St SE,6285398451,bicycle_rental,38.8462378,-76.97703229999999,2.709161275853749,0.5962826896802345,0.3246534363495503,3.936678818271176
Commonwealth Ave & Oak St,6285398197,bicycle_rental,38.8127188,-77.0617173,4.00050323917718,0.6844550181860963,4.575272047610086,7.248542918549962
Battery Ln & Trolley Trail,6285398643,bicycle_rental,38.9923828,-77.1001063,7.025173182687602,0.8954067572458079,3.98638159798243,5.001449976968761
King St & Patrick St,2276095191,bicycle_rental,38.8053167,-77.049883,3.4065741265351663,0.9599790663958091,4.095787886226431,7.457601981990342
18th & New Hampshire Ave NW,6285398284,bicycle_rental,38.9112758,-77.0418313,0.24881598340060165,0.23081771374794127,0.22551762971777028,0.3884799193033999
3000 Connecticut Ave NW / National Zoo,2276095074,bicycle_rental,38.9302817,-77.055599,1.71543058317033,0.541589255787488,0.7543756446637049,0.6319950086190411
31st & Woodrow St S,0,,38.83763,-77.09477,6.926814345199502,4.075014193347121,7.1858498229415915,7.6840756504236
Roosevelt Island,6285398261,bicycle_rental,38.896560799999996,-77.0671423,1.43495115479516,0.3330943906487769,1.2927660406740598,1.5371368812749884
Maryland Ave & E St NE,6285398217,bicycle_rental,38.896141799999995,-76.9929023,1.1580996010731528,1.272109242929786,0.16070793909822922,0.8591516598231363
Constitution Ave & 2nd St NW/DOL,6285398245,bicycle_rental,38.8922828,-77.0139193,0.11597871088981346,0.48493114295203227,1.2051782136252172,0.6025780447206251
Market Square / King St & Royal St,1917477606,bicycle_rental,38.804717700000005,-77.043363,2.9977331128722335,1.3777500697930085,3.7148828814641903,7.303738498768036
Fishers Ln & Rock Creek Mill Rd,6285398434,bicycle_rental,39.0629078,-77.1134563,13.274372383233109,0.6391566788350024,11.08610803125936,11.703010995374727
Ward Circle / American University,2276095720,bicycle_rental,38.9387357,-77.087171,4.606794895321645,1.301942335512519,0.4957411311445736,0.10774261899770785
Wisconsin Ave & Brandywine St NW,6285398190,bicycle_rental,38.9498208,-77.0802193,4.604742700052558,0.1198943272648913,0.21506599752184852,0.12148207605164173
Maine Ave & 9th St SW,6285398444,bicycle_rental,38.88044779999999,-77.0252383,0.03603362139490398,0.5671919704624171,0.21144611340848044,1.820742557819548
Old Georgetown Rd & Southwick St,6285398629,bicycle_rental,38.99964179999999,-77.1096493,8.134235200964119,1.100697341137965,5.140567345715256,6.0720565439945355
North Capitol St & G Pl NE,4731349917,bicycle_rental,38.8997546,-77.0089272,0.05257298831294603,0.2559802641360264,0.5682084273330307,0.4199460145414467
Potomac Ave & Main Line Blvd,6285398201,bicycle_rental,38.8227458,-77.0492673,2.769203751437742,1.0278409594058762,3.216195249866557,5.724102363794266
Radford & Osage St,0,,38.494233,-77.050979,36.557049135563325,31.89771966975599,37.12192396237436,41.443368326192974
Fairfax Village,4646938,neighbourhood,38.8624704,-76.95084320000001,4.0372510574189215,1.3254042777937747,0.46349774804678195,5.202070714159231
Lee Hwy & N Scott St,6285398609,bicycle_rental,38.897619799999994,-77.08085329999999,2.4815221715857128,0.8813598596796198,1.8268217475918012,1.3641071357968266
Smithsonian-National Mall / Jefferson Dr & 12th St SW,0,,38.88865,-77.02862,0.12714275496936578,0.08414595917553938,1.0924418179689814,1.6872033782900033
Connecticut & Nebraska Ave NW,4074329189,bicycle_rental,38.9550753,-77.0699589,3.7780935790260735,1.0831252294069647,0.2371784197930907,0.9421715775344177
Eads St & 12th St S,6142763,residential,38.89334,-76.905302,7.901053584054887,0.7092710885964443,1.3029250791065594,7.7165175706949425
1st & Rhode Island Ave NW,2276096129,bicycle_rental,38.9154167,-77.012289,1.1066477661357441,0.861895152308876,0.52270109429458,0.9790414184947053
Columbia Pike & S Walter Reed Dr,6285398241,bicycle_rental,38.862463,-77.0865343,4.882505339084259,2.343705788155265,5.172057444017468,5.263594068527502
22nd & I St NW / Foggy Bottom,2276095993,bicycle_rental,38.900879700000004,-77.0489559,0.10370630563501565,0.11647645034166482,0.31225326202975173,0.14852653346725248
Carroll & Ethan Allen Ave,6285397653,bicycle_rental,38.9779408,-77.00647430000001,2.3548841559252764,1.0349465019049309,1.4504049654979627,2.4269854237748465
Bethesda Metro,6285398613,bicycle_rental,38.9846988,-77.0945393,6.23292072039738,0.04835314124162682,3.0487321734731796,4.033603750704652
Iwo Jima Memorial/N Meade & 14th St N,0,,38.89001,-77.07138,2.1333206871425525,0.6647604900112002,2.0862896867677083,2.13051638623435
4th St & Madison Dr NW,6285398196,bicycle_rental,38.8905008,-77.0172553,0.18146325974978128,0.5362493666985494,1.221046144245839,0.8777455899082623
McLean Metro,6285398390,bicycle_rental,38.923770899999994,-77.20789079999999,13.564383090811193,0.20779026769032255,9.316191927819137,10.079890895522531
Benning Rd & East Capitol St NE / Benning Rd Metro,2276072748,bicycle_rental,38.8899347,-76.93723,5.1283177696323206,0.15260562992716117,0.37965907241866986,5.18020895687253
Carroll & Westmoreland Ave,6285397654,bicycle_rental,38.9750078,-77.0112123,1.8998733112740909,0.615466045463035,1.0039239801529025,2.0326374272100636
24th & R St NE / National Arboretum,0,,38.91258,-76.97197,3.4982198040129044,2.2823628977233485,1.1129462465627364,1.824694469342438
17th & K St NW,2276094954,bicycle_rental,38.9027555,-77.0386382,0.07455063330618833,0.10524338183386302,0.8891913159157657,0.4333156929041853
18th & Monroe St NE,6285398457,bicycle_rental,38.9329378,-76.97951929999999,4.311248284166092,1.302490129899992,0.11177955805592249,0.9703545569009455
King St Metro South,1917477618,bicycle_rental,38.8057317,-77.0607026,4.197563191995614,0.09619610326922062,4.843935917638963,7.853733091247074
Greensboro & Pinnacle Dr,6285398431,bicycle_rental,38.9224578,-77.23034240000001,15.473449085531108,0.3487972806546474,11.267492377078804,12.010660923014212
Aurora Hills Community Ctr/18th & Hayes St,6285398602,bicycle_rental,38.85787379999999,-77.05949229999999,3.9045772958133793,0.4458880813981089,4.005644430259489,4.0371763276310855
Fenton St & New York Ave ,6285398238,bicycle_rental,38.985411799999994,-77.0230843,2.4396525022387165,1.1191255534814282,0.9497455901528307,1.330640691975296
Rockville Metro West,6285398614,bicycle_rental,39.0843868,-77.1468683,16.901732162999355,0.06439679608287971,14.747299121466588,15.357782675368826
14th & Irving St NW,6285398191,bicycle_rental,38.9285598,-77.03222629999999,0.44812900774322345,0.08422010330499315,0.25156970237889115,1.2839544305835664
14th & Luzon St NW,6285398406,bicycle_rental,38.9694968,-77.0335113,0.8072049820674395,1.516761774161767,1.023593626905501,0.8781028989864375
11th & M St NW,397303394,house,38.9055658061171,-77.00991599912685,0.43269115459614205,0.6194515317700183,0.33282054441032516,0.9166053682056088
4th & E St SW,2276096132,bicycle_rental,38.88411970000001,-77.017445,0.09733703747609454,0.17329617640419318,0.5137366952269816,1.5525995753209638
Carlin Springs Rd & N Thomas St,0,,38.87666,-77.11308,5.989044765834837,0.6140263608498844,5.464397616829377,4.883434546981324
12th & Irving St NE,6285398255,bicycle_rental,38.9286518,-76.99095729999999,3.2905713443369353,0.5944515603620174,0.39244133060047254,0.6761683871241293
Fallsgrove Dr & W Montgomery Ave,6285397663,bicycle_rental,39.0993838,-77.18801640000001,20.4736327134475,3.0491219844060384,18.030644480651464,18.933521525617603
11th & Kenyon St NW,2276095572,bicycle_rental,38.92946370000001,-77.027822,0.8306747988531659,0.4479501448637269,0.14366240111692416,1.097310930150201
Grand Park & Rose Ave,6285398413,bicycle_rental,39.0510428,-77.11760229999999,12.42617268680616,0.5224881155966191,10.307133421895566,10.896267599877772
Anacostia Ave & Benning Rd NE / River Terrace ,2276072739,bicycle_rental,38.8965437,-76.96011999999999,3.6722102798582856,1.1967303337906967,0.23518251105464588,3.0670610411958843
Nannie Helen Burroughs & Minnesota Ave NE,2276072713,bicycle_rental,38.901599700000006,-76.9422,5.272170699185756,0.4762529085596024,0.8606361252114602,4.398935455215089
8th & O St NW,6285398220,bicycle_rental,38.9086478,-77.0227723,0.34893835857483807,0.2555972570089942,0.28601923033795745,0.8281511143197491
14th & Rhode Island Ave NW,2276096046,bicycle_rental,38.9085997,-77.0323,0.22839263234123644,0.8141569550976195,0.6577116521826551,0.3892639875624085
14th St Heights / 14th & Crittenden St NW,2276095066,bicycle_rental,38.9477737,-77.032818,1.7678671411766231,1.4047032245791051,0.3938705539142733,1.027599247194271
16th & Q St SE / Anacostia HS,6285398188,bicycle_rental,38.8707028,-76.98236130000001,1.1798844924065124,1.2043690842012216,0.09214300136807001,2.6084189337811425
14th & Harvard St NW,2276095567,bicycle_rental,38.926799700000004,-77.0322,0.37655604913852836,0.1201252065930952,0.3583424316260227,1.1690142704580904
Wisconsin Ave & Newark St NW,4731344518,bicycle_rental,38.934890700000004,-77.0727503,3.2861655457617975,1.2578822283036688,0.6465484350024593,1.2273776375709857
Montgomery Ave & Waverly St ,6285398236,bicycle_rental,38.9838458,-77.0922123,6.010541485191849,0.17736432468611915,2.8352303503834793,3.880467406587006
Spring Hill Metro,92214594,residential,38.92945,-77.24077,16.479074267487043,0.08752364725994738,12.164330854469373,12.767128388370837
S Glebe & Potomac Ave,2276095220,bicycle_rental,38.8425997,-77.0502,3.6197271342031105,1.3151072119478715,3.6119086780031218,4.090132333661203
Campus Commons,380627906,retail,38.94468,-77.33545,24.855756700079706,0.5247119763828906,20.465081553229844,20.85546484959511
Saint Asaph & Madison St,0,,38.81268,-77.04396,2.552502932452698,0.8590094751271888,3.201363483464615,6.501801228105203
Crystal Dr & 15th St S,0,,38.86013,-77.0497,3.1101593358042408,0.25152219569025863,3.1953960029820814,3.1524026664174767
10th & K St NW,521198982,primary,38.9025235,-77.0421925,0.04353212919650821,0.1861277883001442,0.7129428780530639,0.5913251661486532
3rd & D St SE,2275495853,bicycle_rental,38.8851401,-77.002229,0.4209649411377111,0.25284345619472354,0.0760340330155572,0.6170039277514995
S Joyce & Army Navy Dr,0,,38.86573,-77.0631,3.396994125222498,0.5264128837152102,3.822627595487123,3.997929291088922
Nebraska Ave/AU East Campus,5425625474,bicycle_rental,38.9362317,-77.0871578,4.521133611894246,1.5477913696042396,0.22221690827980306,0.2537798984964777
Columbia Pike & S Taylor St,6285398453,bicycle_rental,38.858531799999994,-77.1037303,6.291816512541855,2.7512670847730814,6.461744088896911,6.134955706761441
N Randolph St & Fairfax Dr,2276095630,bicycle_rental,38.8826287,-77.10936600000001,5.394219903539224,0.33373352511912013,4.803416626294418,4.183177271423124
4th & East Capitol St NE,2276095817,bicycle_rental,38.889954700000004,-77.000349,0.27528406549753104,0.6833261938045352,0.3301215296051089,0.10262042134667206
Arlington Blvd & S George Mason Dr/NFATC,0,,38.86941,-77.10452,5.687438868782934,1.5559321535884352,5.514572470886561,5.090221496852317
White Flint Metro,738189389,station,39.048151399999995,-77.11282990000001,11.917809825262992,0.000885043331018183,9.816943014327544,10.382772051301764
Westpark & Park Run Dr,6285397681,bicycle_rental,38.9289268,-77.22539640000001,15.155017558357795,0.9692733670367496,10.830283533101813,11.456989719732805
Metro Center / 12th & G St NW,2276095321,bicycle_rental,38.898363700000004,-77.027869,0.018898205611934123,0.018897922688155763,0.5727085922080898,0.6631126068232245
Rhode Island & Connecticut Ave NW,6285398282,bicycle_rental,38.90600379999999,-77.0398043,0.16777191105782732,0.31030377568269174,0.7100147603940203,0.21969783344072386
New Hampshire & Kirklynn Ave,6285398466,bicycle_rental,38.9881088,-76.9884243,4.148675680513488,2.9031759341916543,3.2768860268345117,4.164243152620895
S Four Mile Run Dr & S Shirlington Rd,8796265,tertiary,38.844920200000004,-77.0901815,6.583889685288431,3.259317098638068,6.940823904645232,7.007807676503765
Fallsgrove Blvd & Fallsgrove Dr,6285398235,bicycle_rental,39.096319799999996,-77.1926744,20.503723255947058,3.571761511900725,17.992809292158952,18.80459084630356
Temporary Rd & Old Reston Ave,6285398481,bicycle_rental,38.9600605,-77.3534586,26.72787367817252,1.7941616320567815,22.23628858808272,22.475812405713196
Amherst Ave & Prichard Rd,6285398463,bicycle_rental,39.035972799999996,-77.0483973,8.214070057922651,0.22814277056652105,5.8368034600630265,6.616586999416308
3rd & H St NW,6285398593,bicycle_rental,38.8994158,-77.0152913,0.08991056770632301,0.38647921662589874,0.5442555791025825,0.28119649880025316
15th St & Constitution Ave NW,6285398420,bicycle_rental,38.8922518,-77.0332363,0.04019460499776926,0.4546898386442658,1.3168099385763214,1.332937347887481
5th St & Massachusetts Ave NW,6285398273,bicycle_rental,38.900937799999994,-77.01867929999999,0.249163269264846,0.403828681852703,0.5492626627319692,0.6155994311329196
Eisenhower Ave & Mill Race Ln,0,,38.80107,-77.06894,5.070526010006892,0.1824860559827182,5.7243232909459225,8.671981066441345
Florida Ave & R St NW,2276096139,bicycle_rental,38.912541299999994,-77.01343759999999,0.7744660462342289,0.742599234399729,0.5485840143998447,1.1578727749190165
Lincoln Park / 13th & East Capitol St NE ,2276072726,bicycle_rental,38.8904607,-76.988355,1.3173995720649763,0.9270054081323698,0.19407907103703242,0.9413083193258427
Shady Grove Metro West,6285398616,bicycle_rental,39.11977279999999,-77.1660953,21.05615466711817,0.12802178402763073,18.865566802883997,19.487183667743672
N Lynn St & Fairfax Dr,6285398478,bicycle_rental,38.8937479,-77.0709152,1.8816516567686203,0.2485572316901092,1.678873198373664,1.7286009633623038
Pentagon City Metro / 12th & S Hayes St,0,,38.86284,-77.06,3.537996384808319,0.11271205296215803,3.733178529180953,3.9873351441177816
Medical Center Metro ,6285398212,bicycle_rental,38.99938579999999,-77.0978843,7.247158195441099,0.11027035180129872,4.461673702744023,5.674001720427328
3rd & H St NE,3137317587,bicycle_rental,38.9003995,-77.00193349999999,0.6190256502315691,0.5578618055738693,0.21381481739266567,1.0035215030446103
New York Ave & 15th St NW,2276095101,bicycle_rental,38.899214,-77.03374029999999,0.15630898407868873,0.23625137996739026,0.6624222580203735,0.6137302219725398
New Jersey Ave & L St NW,6285398194,bicycle_rental,38.903605799999994,-77.0139723,0.24186289864517677,0.7577542058556233,0.06608104223101213,0.6660902708047945
